Feature,Mean_Signed,Std_MeanAcrossFolds,Impact_Magnitude,Impact_Direction,Fold_Level_Impact,Sample_Level_Impact
OG0005743,0.0,0.0,0.0,Neutral,0.0,0.0
OG0004430,-0.004410665,0.014107367,0.004410665,Negative,0.009975416585803032,0.03414096310734749
OG0012339,0.0,0.0,0.0,Neutral,0.0,0.0
OG0007885,0.0,0.0,0.0,Neutral,0.0,0.0
OG0003682,-0.0033078152,0.0014842628,0.0033078152,Negative,0.0033078112173825502,0.040570806711912155
OG0003970,-0.040129393,0.043153327,0.040129393,Negative,0.040129370987415314,0.1102735847234726
OG0003584,-0.01905855,0.02001937,0.01905855,Negative,0.019058560952544212,0.06710107624530792
OG0005757,0.0,0.0,0.0,Neutral,0.0,0.0
OG0013567,0.0,0.0,0.0,Neutral,0.0,0.0
OG0008442,0.0,0.0,0.0,Neutral,0.0,0.0
OG0015020,0.0,0.0,0.0,Neutral,0.0,0.0
OG0005519,0.0,0.0,0.0,Neutral,0.0,0.0
OG0013686,0.0,0.0,0.0,Neutral,0.0,0.0
OG0003801,-0.015426469,0.021816323,0.015426469,Negative,0.015426467172801495,0.07292566448450089
OG0000661,-0.006879377,0.009728909,0.006879377,Negative,0.006879379041492939,0.029826570302248
OG0001241,0.00040890696,0.015973713,0.00040890696,Positive,0.011295136064291,0.07655690610408783
OG0004323,0.0014087516,0.0036690037,0.0014087516,Positive,0.0025943841319531202,0.0486697293817997
OG0002603,-0.014487494,0.023937197,0.014487494,Negative,0.016926150768995285,0.10494060069322586
OG0002881,-0.01925714,0.015109014,0.01925714,Negative,0.01925715245306492,0.07942889630794525
OG0000514,0.010437424,0.017295288,0.010437424,Positive,0.012229613028466702,0.06436151266098022
OG0017144,0.0,0.0,0.0,Neutral,0.0,0.0
OG0000848,0.010829682,0.007281641,0.010829682,Positive,0.010829676873981953,0.05388244241476059
OG0003165,0.006040008,0.008541861,0.006040008,Positive,0.006040004547685385,0.03810349479317665
OG0003167,0.0023999198,0.0067717973,0.0023999198,Positive,0.004788387566804886,0.0663105845451355
OG0005612,0.0,0.0,0.0,Neutral,0.0,0.0
OG0047400,0.0,0.0,0.0,Neutral,0.0,0.0
OG0004275,-0.008804932,0.031060103,0.008804932,Negative,0.02196282148361206,0.071111761033535
OG0012915,0.0,0.0,0.0,Neutral,0.0,0.0
OG0003614,-0.0045226556,0.0063960007,0.0045226556,Negative,0.0045226640067994595,0.03156523033976555
OG0001164,-0.017114779,0.020906989,0.017114779,Negative,0.01711479015648365,0.06756236404180527
OG0004163,0.0036375576,0.005010047,0.0036375576,Positive,0.0036375608760863543,0.044213324785232544
OG0030560,0.0,0.0,0.0,Neutral,0.0,0.0
OG0004702,-0.00069480337,0.0009826004,0.00069480337,Negative,0.0006948013906367123,0.008624998852610588
OG0029307,0.0,0.0,0.0,Neutral,0.0,0.0
OG0001569,-0.01558662,0.015289789,0.01558662,Negative,0.015586625784635544,0.06431637704372406
OG0003094,-0.031700265,0.037204724,0.031700265,Negative,0.03170027583837509,0.0917920470237732
OG0002211,0.0034754928,0.004915089,0.0034754928,Positive,0.0034754981752485037,0.034717295318841934
OG0000799,0.0049094553,0.0052305707,0.0049094553,Positive,0.00490945391356945,0.034824345260858536
OG0024086,0.0,0.0,0.0,Neutral,0.0,0.0
OG0005152,0.0016146275,0.002283428,0.0016146275,Positive,0.0016146316193044186,0.010518071241676807
OG0004249,0.0038451387,0.0019301989,0.0038451387,Positive,0.0038451377768069506,0.02918832376599312
OG0004721,0.007253297,0.010257711,0.007253297,Positive,0.007253305986523628,0.016833873465657234
OG0002075,-0.0036023709,0.002504142,0.0036023709,Negative,0.003602371783927083,0.09180144965648651
OG0001238,-0.0013587538,0.011338732,0.0013587538,Negative,0.008017702959477901,0.04521394893527031
OG0002974,-0.015430713,0.00378108,0.015430713,Negative,0.015430713072419167,0.09936963766813278
OG0003696,0.0078102415,0.0103146555,0.0078102415,Positive,0.007810233160853386,0.08134341239929199
OG0006322,0.0,0.0,0.0,Neutral,0.0,0.0
OG0005741,0.0,0.0,0.0,Neutral,0.0,0.0
OG0005393,0.0,0.0,0.0,Neutral,0.0,0.0
OG0026953,0.0,0.0,0.0,Neutral,0.0,0.0
OG0005092,-0.0035913715,0.005314791,0.0035913715,Negative,0.003758122446015477,0.03505583107471466
OG0004549,-0.0030029332,0.008572001,0.0030029332,Negative,0.00606133509427309,0.016650836914777756
OG0003986,0.0037975977,0.005370614,0.0037975977,Positive,0.0037976051680743694,0.0382307767868042
OG0039348,0.0,0.0,0.0,Neutral,0.0,0.0
OG0007248,0.0,0.0,0.0,Neutral,0.0,0.0
OG0036094,0.0,0.0,0.0,Neutral,0.0,0.0
OG0006655,0.0,0.0,0.0,Neutral,0.0,0.0
OG0003573,-0.004367381,0.002811269,0.004367381,Negative,0.00436737947165966,0.03525879979133606
OG0005205,0.0,0.0,0.0,Neutral,0.0,0.0
OG0000434,-0.0045762956,0.008962822,0.0045762956,Negative,0.00633767107501626,0.07512761652469635
OG0004190,-0.0018368106,0.0025976424,0.0018368106,Negative,0.001836813404224813,0.016222387552261353
OG0035328,0.0,0.0,0.0,Neutral,0.0,0.0
OG0006033,0.0,0.0,0.0,Neutral,0.0,0.0
